trip_id,driver_id,distance_km,fare_amount,timestamp
268b4c56-fe60-40b6-a37a-3e3cde7e6dc8,83,5.61,148.26,2025-10-14 17:30:30
ee995b2d-43de-4fd8-b1a7-6932f05b7fc5,47,8.56,20.98,2025-10-14 17:30:32
67da9f7b-3860-4c85-8b34-bc2cf915105d,89,32.47,103.13,2025-10-14 17:30:34
ac9a1638-a770-4f03-819a-256484501aa8,18,43.08,111.78,2025-10-14 17:30:36
76f5f847-2eda-43dc-be00-cce1f6d931f1,17,4.87,123.05,2025-10-14 17:30:38
7577fbe7-8270-4d77-b8c0-d5963306885d,52,33.64,111.01,2025-10-14 17:30:31
6ac2c47f-b7c5-4bfb-a21b-22bd9ba111ee,50,19.44,51.1,2025-10-14 17:30:33
06e8abc9-a4a6-4dd2-a6d9-27ecbe8faf4f,28,16.92,19.08,2025-10-14 17:30:35
9556f829-c8b4-497f-a7f5-c54273896cc8,30,25.55,125.1,2025-10-14 17:30:37
bcc7b6fd-7a29-4d51-a119-f6c5ceae99d1,63,3.93,33.83,2025-10-14 17:30:39
