trip_id,driver_id,distance_km,fare_amount,timestamp
415d759c-0f0c-4a72-abbb-cd0f2c6a4ef4,46,21.06,16.5,2025-10-14 17:30:20
ede5f0c3-0152-4c24-82db-4909d4dee986,86,41.44,71.86,2025-10-14 17:30:22
97dbe711-85f9-49b3-af52-6189e1905021,67,25.41,20.09,2025-10-14 17:30:24
23994fac-124d-465a-b5c3-36f5ec0e681d,75,35.29,34.8,2025-10-14 17:30:26
7734c474-ddb5-4b15-9393-e6a0c9482fae,20,18.01,74.45,2025-10-14 17:30:28
9e840227-9a5a-4375-a87e-a1ffe4015bd7,12,3.12,39.8,2025-10-14 17:30:21
4f55da07-87f8-404b-8d50-4b35a35a3400,23,25.01,76.99,2025-10-14 17:30:23
281d66c7-8622-494f-8b63-6cb2f39156b1,36,17.31,19.31,2025-10-14 17:30:25
1bb2f9ae-75d7-4438-9377-ed0211d531e6,55,30.05,48.47,2025-10-14 17:30:27
29246b2b-1b08-451f-baac-32c24f5d7728,30,17.7,12.84,2025-10-14 17:30:29
