driver_id,total_fare,avg_distance
85,396.19,26.742
65,145.7,24.86
53,324.71,20.516
78,81.23,40.95
34,16.58,21.75
81,43.56,36.68
28,88.06,9.62
76,448.66,25.235999999999997
26,157.76,19.5825
27,127.84,13.114999999999998
12,436.17,34.6575
91,308.66,24.365999999999996
22,240.52,16.415
93,278.61,23.349999999999998
47,192.35,21.755000000000003
1,130.5,18.87
52,138.4,36.22
13,352.25,20.407999999999998
16,359.22,34.20666666666667
6,121.64,36.335
86,120.13,20.286666666666665
3,213.18,33.51
40,205.39,18.665
20,66.87,41.595
94,42.92,26.65
57,489.44000000000005,21.712
54,155.71,31.025
48,303.37,18.612499999999997
5,139.66000000000003,35.663333333333334
19,143.65,1.73
92,637.4,16.80375
64,145.63,45.61
41,160.35,15.69
15,71.82,41.18
43,191.11,29.919999999999998
37,111.31,19.735
61,114.1,28.63
88,71.17,13.300000000000002
9,30.65,15.78
17,107.93,20.709999999999997
35,149.45,29.48
59,149.94,47.46
4,298.8,26.959999999999997
55,146.99,23.955000000000002
100,83.98,2.72
39,98.0,11.73
23,268.26,17.38
49,249.82,24.536666666666665
7,117.52000000000001,17.13
84,97.98,20.1
87,57.77,28.47
51,127.62,47.41
69,142.17000000000002,17.849999999999998
97,102.46,32.48
45,167.85,19.08
38,76.44,46.88
82,170.4,26.900000000000002
80,177.46999999999997,38.3
73,275.83000000000004,13.66
24,165.19,25.2
70,200.24,26.98
62,304.21,38.18333333333334
95,359.76,11.907500000000002
21,75.16,16.465
98,145.78,44.86
32,131.51999999999998,32.275
60,137.54,22.675
75,223.03000000000003,16.6875
56,118.53,11.14
58,75.06,38.365
33,26.03,16.02
11,184.26,27.630000000000003
83,84.85,24.53333333333333
68,131.44,12.12
71,36.45,4.17
14,360.36999999999995,25.014
42,142.44,41.260000000000005
79,308.73,18.276666666666667
30,84.89,39.15
99,288.65,24.923333333333332
66,457.22,30.51
67,132.26,14.545
46,200.39,27.64
18,29.61,17.4
36,51.96,37.27
89,162.67000000000002,36.53
