trip_id,driver_id,distance_km,fare_amount,timestamp
2a62d272-6c91-4bd5-86d1-53b227a20c9f,56,18.45,35.11,2025-10-14 17:29:50
da1b1d9e-f56d-4b3d-a518-baf6d6f4a3e9,57,2.79,97.22,2025-10-14 17:29:52
2a578446-6c70-4b46-a02f-8cc042defe3b,91,29.73,94.9,2025-10-14 17:29:54
85b276b3-ce1d-40c9-80eb-d7ef5b8303a3,86,20.48,139.71,2025-10-14 17:29:56
a132a4cf-ec6c-4714-aee6-9a7b78167320,73,44.21,9.22,2025-10-14 17:29:58
2e881205-c7fc-49dc-8f62-69de38d9f250,61,33.23,17.82,2025-10-14 17:29:51
ad734bb5-8841-4b8a-8f1e-fd468e6fd6ff,100,3.33,11.79,2025-10-14 17:29:53
baac3632-04e8-4f74-9783-d3fec7955768,91,12.94,65.1,2025-10-14 17:29:55
6eef1403-50c2-4bd5-aff3-73d31ade4a3e,99,35.73,45.03,2025-10-14 17:29:57
d1c8b11f-393f-4be4-a55d-fb12257fa059,96,31.53,111.24,2025-10-14 17:29:59
